reference_transcription,reference_translation
bon je reviens sur cette euh ce problème qui est un problème euh voilà de d'être chez moi combien de fois ça m'est arrivé bon ben là tu vas boulevard Voltaire c'est pas loin euh tu tu j'y vais à pieds je suis chez moi je me conditionne dans mon appartement en me disant j'y vais à pieds moi ma voiture elle est garée dans la rue j'ai un stationnement résident je passe devant je ne peux pas m'empêcher d'ouvrir euh la porte de monter dedans et et d'aller euh à euh voilà cinq minutes en voiture ce qui me mettrait peut-être euh un petit quart d'heure à pieds donc au dernier moment je prends ma voiture,well I keep coming back to this problem which is a problem of being at home how many times has that happened to me well you are going boulevard Voltaire it is not far I will go on foot I am at home I psych myself up in my apartment telling myself I will go on foot me my car it is parked in the street I have a resident parking permit I walk past I cannot help opening the door getting in and going five minutes by car which would take me maybe a little quarter of an hour on foot so at the last moment I take my car
mais pour l'instant c'est une vraie question hein pour l'instant c'est quand même en termes de temps rentable aussi de prendre la voiture c'est ça va plus vite qu'à pieds,but for now it really is a question for now it is quite cost-effective in terms of time taking the car it goes faster than on foot
sur le coup je me dis je vais mettre cinq minutes mais le temps de me garer de tourner de faire des ronds pour pas mal me garer et tout je sais que je suis perdante,in the moment I tell myself it will take five minutes but with the time it takes to park circle around do laps to find a decent spot and all that I know I am coming out losing
et pourtant en je le sais que je suis perdante,and yet I do know it that I am coming out losing
en fait vous êtes maintenant perdante mais quand même il y a le,in fact now you are coming out losing but still there is the
il y a le oui il y a un côté de facilité de passer devant sa voiture et de se dire bon ben je la prends et euh et voilà quoi à mon avis c'est pas très malin faudrait que je c'est une habitude en tout cas que j'aimerais changer,yes there is a convenience to it passing in front of your car and saying to yourself well I will take it and that is it in my opinion it is not very smart it is a habit that I would like to change
et alors comment vous vivez les la la politique de la ville de Paris qui est quand même une chasse aux voitures,and how do you experience the policy of the city of Paris which is after all a crackdown on cars
ah ben je je suis pour mm mm,well I am in favor of it
vous êtes pour,you are in favor of it
je suis pour en rentrant dans un processus que je n'aime pas trop vis-à-vis de moi c'est-à-dire que euh il faut me mettre des li- il faut quand même me mettre des limites pour m'empêcher de prendre la voiture alors que ça devrait venir de moi,I am in favor of it and I enter into a process that I do not really like with myself that is to say I do need to have limits imposed on me to stop me from taking the car when it should come from me
au fond vous attendez de la mairie de Paris qu'elle prenne un gros bâton et qu'elle vous dise à pieds,deep down you are expecting the Paris city hall to take a big stick and tell you go on foot
sur ce domaine oui à pieds,on this point yes go on foot
parce que je pense,because I think
que je suis d'accord,that I agree
très malade c'est je bon j'aurais pas toujours cette pensée sur d'autres domaines mais sur celle-là oui voilà par contre j'ai essayé le vélib deux trois fois en mettant ma carte bleue et c'est un mystère pour moi donc il faudrait que j'aille à ma banque et que je m'en occupe quand même euh puisque ma caution quand on met sa carte bleue qu'on a pas de carte d'abonné ma caution il y a écrit caution cent cinquante euros je valide et elle m'est refusée même si euh il y a quand même il y a des des sous sur le compte donc euh voilà donc je n'ai pas eu droit encore euh oui mais vous avez essayé,very ill well I would not always think that way in other areas but on this one yes on the other hand I tried the Velib two or three times using my bank card and it is a mystery to me so I should go to my bank and sort it out since my deposit when you use your bank card without a subscription card my deposit it says deposit one hundred and fifty euros I confirm and it is refused even though there is money in the account so I have not managed to get access yet yes but you tried
 j'ai pas réussi à accéder,I did not manage to get access
le deux-roues ça ne vous déplairait pas,a two-wheeler you would like that
le vélo si pour essayer une fois non mais je crois que je suis comme j'ai jamais fait quasi de vélo de ma vie euh en tant que vraie parisienne et en étant très peu partie à la campagne je suis pas pas très à l'aise mais pour faire les petites distances,a bike yes to try it out once no but I think I am since I have almost never ridden a bike in my life being a real Parisian and having hardly ever gone to the countryside I am not very comfortable unless it is for short distances
vos filles ont quel âge,your daughters how old are they
alors dix-sept et demi et quinze ans,so seventeen and a half and fifteen
et c'est aussi des accros de la voiture,and they are car addicts too
euh non elles marchent elles se non non elles ont tendance à non non elles adorent marcher puisque moi voilà je peux me dire mais je viens te chercher tu finis tard tu seras voilà non non non laisse-moi marcher laisse-moi marcher donc euh non non pareil qu'elles marchent elles prennent pas le métro pour faire quatre cinq stations elles prennent pas le métro elles y vont à pieds,no they walk they no no they tend to no no they love walking because me I can say to myself but I will come pick you up you're finishing late you will be no no no let me walk let me walk so no same thing they walk they do not take the metro to travel for four or five stops they do not take the metro they go on foot
d'accord alors si on revient euh en arrière donc à votre enfance dans euh le onzième c'était quoi une enfance de petite fille euh dans le onzième arrondissement près de la place Voltaire,alright so if we go back to your childhood in the 11th what was it like a little girl's childhood in the 11th arrondissement near place Voltaire
oui moi le souvenir d'avoir vraiment euh enfin mes ouais plus beaux moments je crois que c'est de jouer après l'école au ballon dans la rue quoi je j'étais mes deux parents travaillaient beaucoup donc euh,yes me the memory of really having well my greatest moments I think they were playing ball in the street after school my two parents both worked a lot so
qu'est ce qu'ils faisaient,what did they do
alors un père grossiste en peintures et une mère euh vendeuse dans un magasin de papiers peints peintures donc fille unique donc euh après l'école je me vois jouer au ballon euh dans voilà rue Basfroy euh rester jusqu'à,so a father who was a paint wholesaler and a mother who was a saleswoman in a wallpaper and paint shop so an only child so after school I see myself playing ball on rue Basfroy staying until
les jeux de ballon c'étaient pas des jeux des petites filles si assez tard,ball games those were not really little girl games were they quite late
non j'étais non des ballons ou au foot ou ouais ouais ouais j'ai plus euh ouais ah la balle au mur au foot,no I was no ball games or soccer or yeah yeah yeah I don't have yeah oh handball against the wall soccer
ouais ouais dans la rue en tous cas euh voilà donc ça un peu,yeah yeah in the street anyway so all that a bit
plus que la marelle les billes tout l'élémentaire,more than hopscotch marbles all the elementary school things
la corde à sauter,jump rope
ouais j'ai plus le souvenir oui du foot euh avec une bande de voilà de de garçons avec quelques filles hein dont je dont certaines j'ai une amie là je l'ai connue en première année de maternelle donc ça fait euh quarante-trois ans que je la connais donc et on se rappelle euh voilà des souvenirs euh comme ça dont beaucoup dans la rue je me rappelle,yeah I remember soccer more yes with a bunch of boys and a few girls there is one friend I met her in the first year of preschool so it has been forty-thre years since I met her and we reminisce about memories like that many of them in the street I remember
et jusqu'à quelle heure,and until what time
oh moi je dirais euh il y avait des heures de de rentrée euh un peu souples ou,oh me I would say there were curfew times that were kind of flexible or
ouais moi je me dirais jusqu'à sept heures voire huit heures quelque chose comme ça,yeah me I would say until seven or even eight o clock something like that
l'école primaire ouais ouais ouais,elementary school yeah yeah yeah
